data
24
26
23
22
23
35
28
26
22
22
22
27
29
23
27
23
23
26
23
27
28
34
29
23
27
27
29
27
31
27
28
30
23
31
35
31
32
32
22
28
23
26
35
27
29
22
36
23
29
34
34
27
29
23
27
26
23
24
23
24
35
29
28
27
27
35
24
23
24
28
23
23
30
26
27
27
27
23
27
23
30
29
23
28
22
30
26
27
23
36
30
24
29
27
26
22
35
31
35
31
30
31
29
29
31
30
22
24
24
27
29
26
32
28
24
28
30
22
29
29
24
26
28
27
29
30
26
22
28
22
23
28
23
32
27
36
24
27
24
27
28
27
36
34
30
28
29
28
35
23
28
28
26
30
28
23
31
28
30
28
